Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.181631773272278	0.00826089998004217	0.00351384869780901
mcuentas_saldo	0.0328277847474914	0.00851633407944425	0.00902025630425796
ctrx_quarter	0.0307174046744538	0.00222766980261662	0.0030549813972716
mcaja_ahorro	0.0300317504988523	0.0047854296818744	0.00605622157916494
mtarjeta_visa_consumo	0.0253401901662762	0.00737965719003649	0.00622157916494419
saldocuentas	0.0188705845087117	0.0052601873474841	0.00975196362133113
foto_mes	0.0161736413090294	0.0177904815892467	0.013840429929723
cpayroll_trx	0.0158581647250639	0.00580426650794619	0.00190988011575031
mprestamos_personales	0.0137797105842463	0.00776081505506176	0.00381976023150062
mpasivos_margen	0.0132444080649747	0.00469204100882521	0.00453493178999587
mdescubierto_preacordado_delta1	0.0129929692556686	0.00370908385649321	0.000979743695742042
mpayroll	0.012447229974389	0.00644483667547619	0.00236461347664324
mdescubierto_preacordado	0.0108362222454596	0.000997416927009918	0.000711037618850765
mcuenta_corriente	0.010822908040551	0.00444569638007567	0.00602728400165358
mprestamos_personales_mean6	0.0100646828112888	0.00336480851099414	0.00207110376188508
Visa_status_mean6	0.00959499009912206	0.000772565321494183	0.000334849111202976
cproductos_delta1	0.00671084129725853	0.00399078344201815	0.00102521703183134
mdescubierto_preacordado_mean6	0.00663448622272757	0.00183400844463937	0.00161223646134766
ctarjeta_visa_trx	0.00607296799132383	0.00385807755872557	0.00477883422902026
mv_status01	0.00606123726774893	0.000643613966189415	0.000231500620090947
cprestamos_personales_mean6	0.00566565660847594	0.00305944743233351	0.00206283588259611
Visa_Finiciomora	0.00561707185104756	0.00280746475782455	0.000657296403472509
mv_status05_mean6	0.0052390768190206	9.1286263051926e-05	0.000194295163290616
mcuenta_corriente_mean6	0.00507207414399944	0.00565260423371659	0.00894997933030178
mv_status07	0.00498620419655236	6.64047529438022e-05	7.85448532451426e-05
mv_Finiciomora_lag1	0.0049339850152544	0.00353356867349998	0.00114510128152129
mactivos_margen	0.00489507785536737	0.004650653768144	0.00642000826787929
Visa_Finiciomora_mean6	0.00483582757802371	0.00163139691362673	0.00076477883422902
mactivos_margen_mean6	0.00480143734481877	0.00332966800376071	0.00560975609756098
Master_status	0.00474126013136198	0.000409183714526189	0.000190161223646135
mpayroll_sobre_edad	0.00473080777081107	0.00374213658256619	0.00204630012401819
mrentabilidad_annual_delta1	0.004639884807004	0.00416906557643643	0.00859859446052088
saldocuentas_mean6	0.00444905465616774	0.00479613056592918	0.00990078544853245
numero_de_cliente	0.00421327202451513	0.00503151981689258	0.00981810665564283
mcaja_ahorro_dolares_delta1	0.00408688128383899	0.00478666991105636	0.00343116990491939
ccaja_ahorro	0.0040488850593969	0.00419191331801136	0.00170318313352625
ctrx_quarter_delta1	0.00404732950217856	0.00306517231054558	0.00591980157089706
cliente_edad_mean6	0.00393502365843891	0.00514958673726547	0.00868954113269946
mrentabilidad_annual_mean6	0.00389694005742332	0.00556182711822408	0.00680446465481604
mrentabilidad_mean6	0.00370982230983118	0.00260127970816593	0.00477056634973129
cliente_edad_lag1	0.0036608193853592	0.00579031175833744	0.00812732534105002
mcomisiones_mantenimiento	0.00365529337547658	0.00690882397505932	0.00412567176519223
mv_Finiciomora	0.00361779439646161	0.00545337496581869	0.00114510128152129
mprestamos_personales_delta1	0.00359611782268371	0.0110782141075495	0.00333608929309632
mautoservicio	0.00355928307423175	0.0033493203551047	0.00219098801157503
mcuentas_saldo_delta1	0.00347721857207978	0.00531811748118703	0.00570070276973956
ctrx_quarter_normalizado_delta1	0.00335330346918103	0.00220851485173601	0.00361719718892104
mv_status05_delta1	0.00334539550297571	0.000999705149250286	0.000289375775113683
mv_status02_mean6	0.00334126164617935	0.000930884056674581	0.000744109136006614
mv_status04_delta1	0.00328459064284001	0.00189585372335361	0.000392724266225713
mv_msaldopesos	0.0032573129925314	0.00104992518553502	0.00143447705663497
mv_msaldototal	0.00322536094350963	0.000567193583130371	0.00107482430756511
cproductos	0.00319629633929488	0.00432163003564653	0.00396444811905746
cliente_edad	0.00315499794383144	0.00443964124236462	0.00693675072343944
mcaja_ahorro_mean6	0.00314757012408097	0.00339001813930776	0.00578338156262919
mv_status04	0.00312278453190789	0.000669610349756206	0.00020669698222406
ccomisiones_mantenimiento_mean6	0.00309252242564141	0.00421983668560631	0.00419594873914841
saldocuentas_lag1	0.00291321305051138	0.00256641744901308	0.00641587432823481
thomebanking_mean6	0.00287220440484361	0.00246877144424877	0.00370814386109963
mtransferencias_emitidas_mean6	0.00278969225141637	0.00393301494595524	0.00594047126911947
mcuenta_corriente_lag1	0.00278332492240239	0.00318993813750929	0.00443571723852832
ctransferencias_recibidas_mean6	0.00276502542335236	0.00311194898680892	0.00602728400165358
Visa_status	0.00276105719135519	0.000234006315577274	0.000124018189334436
ccomisiones_otras_mean6	0.00270985069004446	0.00855236680563803	0.0059570070276974
mrentabilidad_annual	0.00263737493966386	0.00422748294446171	0.00503927242662257
mtransferencias_recibidas	0.00260358144980729	0.00322617114468628	0.00322447292269533
mcuenta_corriente_delta1	0.00251052983448761	0.00373638170623324	0.00420008267879289
chomebanking_trx_mean6	0.00250227977623553	0.00391790267712691	0.00550227366680447
mrentabilidad_annual_lag1	0.00248718001393639	0.00377525843039337	0.00581645307978504
mtarjeta_visa_debitos_automaticos_mean6	0.00248422674390055	0.00328280809722067	0.00388176932616784
mcomisiones_mean6	0.00243951937824323	0.00205029921883633	0.00400165357585779
Master_fechaalta_mean6	0.00242032758664971	0.00299454852902432	0.00570483670938404
mrentabilidad	0.00238312436256976	0.00216575021901722	0.0047044233154196
chomebanking_trx_delta1	0.00237498019287498	0.00461144630419476	0.00418768085985945
Master_Fvencimiento	0.00234561297657208	0.00270569166001804	0.00556428276147168
mtransferencias_recibidas_mean6	0.00233787655338012	0.00306532506281824	0.00531211244315833
Master_fultimo_cierre_mean6	0.00232352506100475	0.00287389960894968	0.00509714758164531
Visa_cconsumos_mean6	0.00227629983510182	0.00239731061709557	0.00403059115336916
ccomisiones_mantenimiento	0.00226778522324089	0.00419255620635923	0.00134353038445639
mpasivos_margen_mean6	0.00226218033712175	0.00204461636601043	0.00442331541959487
ccomisiones_mantenimiento_delta1	0.0022433655349632	0.00176826989412671	0.000876395204630012
mcomisiones_mantenimiento_mean6	0.0022305427021073	0.00165082212776455	0.00355932203389831
mv_status02	0.00220512300645092	0.000512932505784628	0.000227366680446466
cproductos_mean6	0.00219257536771636	0.00331539954465028	0.00519222819346838
Master_Fvencimiento_mean6	0.00218786501526498	0.00226029503045187	0.00526250516742456
mcaja_ahorro_dolares_mean6	0.00218226784392376	0.00198343030550839	0.00423315419594874
mv_status07_delta1	0.00217188443418405	0.000229267613081768	6.61430343116991e-05
Master_fechaalta	0.00216382515495736	0.00408434511957371	0.00547747002893758
Visa_fultimo_cierre_mean6	0.00215902971591811	0.00271002908011195	0.00483670938404299
mcuenta_debitos_automaticos	0.00215333471900397	0.00505976814078302	0.00277387350144688
mcuentas_saldo_lag1	0.00214604848569928	0.00478783993783135	0.00497726333195535
mcomisiones_otras_mean6	0.00214021091050167	0.00264219954650465	0.00362959900785449
mcuentas_saldo_mean6	0.00213359614157762	0.00225489895085631	0.00446878875568417
saldocuentas_delta1	0.00208642231850614	0.00191135174520276	0.00541132699462588
cpayroll_trx_mean6	0.00206852919786626	0.00244455957865104	0.00135179826374535
Visa_Fvencimiento	0.00205924186847864	0.00249149821274782	0.00458867300537412
Visa_Fvencimiento_mean6	0.00205704184580099	0.00175800741489798	0.00491938817693262
thomebanking	0.00202888150275051	0.0013655790617387	0.00128565522943365
