Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.134364064790509	0.0137906435888707	0.0049891457516091
ctrx_quarter	0.0863172160887493	0.00556038339254311	0.00350382755074837
mtarjeta_visa_consumo	0.0480893053017994	0.0121241597919999	0.00795978215333054
mdescubierto_preacordado_tend6	0.0438375774478861	0.00196813317799915	0.0010282972159805
mcaja_ahorro	0.0383097727380757	0.00629436468727668	0.00757893133259702
ctarjeta_visa_tend6	0.0345508796360552	0.000847883627803196	0.000152340328293408
mcuentas_saldo	0.0310560113153465	0.00977916843750634	0.0112731842937122
cpayroll_trx	0.0257727533384389	0.0116661451572687	0.00422744411014206
ctrx_quarter_normalizado_lag1	0.0222629347759233	0.00127117972510217	0.00175191377537419
foto_mes	0.0215994179849294	0.0202378034401663	0.0178238184103287
mprestamos_personales	0.0158941250637734	0.00888270477028469	0.00472255017709563
mv_status07	0.0151460018931976	4.32145268750973e-05	7.61701641467037e-05
mprestamos_personales_tend6	0.013739967102516	0.00654852243929214	0.00354191263282172
mpasivos_margen	0.0133677418415111	0.00551786144618279	0.00536999657234261
mv_status07_tend6	0.0119403249442727	0.00172816173217758	0.000342765738660167
ccomisiones_mantenimiento_tend6	0.0106787408160946	0.00396720869992848	0.00312297673001485
mpayroll_sobre_edad	0.00894257699041682	0.00889796456816853	0.00365616787904178
mpayroll	0.00866370087737081	0.00712040924554402	0.00335148722245496
cproductos_tend6	0.00771687367420455	0.00422658796741469	0.00262787066306128
mprestamos_personales_lag1	0.00737240064361572	0.000386105772279106	0.00060936131317363
mcuenta_corriente_tend6	0.00655694173402107	0.00378618362332346	0.00647446395246982
ctarjeta_visa_trx	0.00594492536626681	0.00406573334561901	0.00540808165441597
mdescubierto_preacordado_delta1	0.00581762328727015	0.00359968779307134	0.00125680770842061
mes	0.00552620390196768	0.00576802554965745	0.00441786952050882
mcuentas_saldo_tend6	0.00508126857361869	0.00321362304698522	0.00594127280344289
mactivos_margen	0.00506385504044044	0.00536177915980028	0.00715999542979015
mcuentas_saldo_lag1	0.00494516129819541	0.00650852465783299	0.00445595460258217
mdescubierto_preacordado	0.00486718097822375	0.000702709930465189	0.000723616559393686
mpasivos_margen_lag1	0.00465288900954599	0.000960201344438658	0.0021327645961077
cproductos_delta1	0.00389933465783217	0.00256838043472389	0.000837871805613741
mcaja_ahorro_dolares_delta1	0.00380779576494646	0.00711344257636221	0.00357999771489508
mcuenta_corriente_avg6	0.00370996819566407	0.00574516860892253	0.00940701527211791
mv_status05	0.00369211680616327	6.37365421049438e-06	3.80850820733519e-05
internet	0.00365222687535061	0.0100686842815198	0.00460829493087558
tmobile_app	0.00359162110533828	0.00975753709347726	0.00468446509502228
tcallcenter_tend6	0.00355777860823312	0.00394300730003927	0.0021327645961077
mrentabilidad_avg6	0.00349838971882966	0.00258544424998699	0.00396084853562859
cprestamos_personales_tend6	0.00347643491979995	0.000756687427723523	0.000647446395246982
mcomisiones_mantenimiento_tend6	0.00342379517217037	0.00800761607392568	0.00628403854210306
mv_fechaalta_tend6	0.00332978767291244	0.00205814918585534	0.00297063640172145
Visa_fechaalta_tend6	0.00324036956236834	0.0053660217221997	0.00445595460258217
ccaja_ahorro	0.00290743502922588	0.0048619666180434	0.002056594431961
mactivos_margen_avg6	0.00281358269617136	0.00448773184767584	0.00597935788551624
mcomisiones_mantenimiento_avg6	0.00272821741130008	0.00390940717230271	0.00342765738660167
cliente_edad_avg6	0.00271054985918318	0.00739466204849634	0.00906424953345775
cliente_edad	0.00267973392943467	0.00445781937470078	0.00754084625052367
mv_msaldopesos	0.00265425608179395	0.00080279292285367	0.00137106295464067
cproductos	0.00261795608856643	0.00720836843034956	0.00658871919868987
mcuenta_corriente	0.00255559178486523	0.00389658770318655	0.00510340099782915
ccaja_ahorro_avg6	0.002546058044098	0.00351013507309403	0.00255170049891458
Visa_msaldototal	0.00252436956797327	0.000811164698605487	0.00159957344708078
ctarjeta_visa_trx_tend6	0.00241612976111063	0.00249802537852147	0.0030848916479415
mtransferencias_recibidas	0.00240443778178213	0.00429933421824853	0.00453212476672887
mprestamos_personales_delta1	0.00236172093737825	0.00555948357299817	0.00278021099135469
mtarjeta_visa_debitos_automaticos_tend6	0.00231781803587579	0.0088258471694153	0.00472255017709563
thomebanking	0.00229269428183521	0.00209991174224829	0.00239936017062117
cliente_edad_lag1	0.00227285856952964	0.00399108594424544	0.0070457401835701
mcomisiones_mantenimiento	0.00222662052394493	0.00486810222303926	0.0040370186997753
mpasivos_margen_delta1	0.00221817518922196	0.000870317658216758	0.00220893476025441
Master_fechaalta	0.00221133805578782	0.00633739029907341	0.00658871919868987
mactivos_margen_tend6	0.00215411489749445	0.00297860912200128	0.00590318772136954
mrentabilidad_annual_tend6	0.0021218317541358	0.0033000488575581	0.006169783295883
mvr_mpagominimo_avg6	0.00194259896027407	0.00306561870449015	0.00338957230452832
ccaja_ahorro_tend6	0.00193749405943915	0.00629948825879264	0.00125680770842061
mv_status01	0.00193006633517285	0.00076982959298213	0.000304680656586815
Visa_fultimo_cierre_tend6	0.00190753915028352	0.00150266458669511	0.00220893476025441
