fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 201327	-0.999925388993587	6680	1167	6	5	8370000	90
20220517 201420	-0.778811913744801	3325	1662	6	5	9115000	91
20220517 201608	-0.999972516342548	7997	2	20	5	8086000	92
20220517 201726	-0.763965094124695	4333	724	14	5	9450000	93
20220517 201847	-0.174116761813843	1236	581	20	5	10893000	94
20220517 202004	-0.13659308397795	1907	952	16	5	10306000	95
20220517 202106	-0.362941453712572	7992	2000	20	5	8284000	96
20220517 202240	-0.17043050765256	1875	717	18	5	10901000	97
20220517 202458	-0.161678657569829	1760	569	16	5	10203000	98
20220517 202716	-0.122382646724546	1540	770	20	5	10751000	99
20220517 202854	-0.64038020468383	1871	934	3	5	9011000	100
20220517 203125	-0.924535610172392	1203	598	20	5	10979000	101
20220517 203233	-0.581838983884975	1656	568	4	5	9594000	102
20220517 203501	-0.290932432922664	1624	647	18	5	10877000	103
20220517 203722	-0.782984488679364	2056	1024	14	5	10105000	104
20220517 203940	-0.978399196058637	1573	786	20	5	10751000	105
20220517 204155	-0.231615112137043	1494	667	9	5	11030000	106
20220517 204420	-0.787737197713165	1466	725	14	5	11107000	107
20220517 204644	-0.257848927177694	1588	673	12	5	10845000	108
20220517 204929	-0.371562097456314	2229	553	20	5	10461000	109
20220517 205209	-0.21478510840261	2259	1124	9	5	9972000	110
20220517 205424	-0.332775660640546	5241	652	8	5	9149000	111
20220517 205529	-0.238678231172117	1455	625	3	5	9069000	112
20220517 205818	-0.220174592245217	1508	668	11	5	11030000	113
20220517 205948	-0.309247085903001	1329	663	10	5	10834000	114
20220517 210046	-0.223193900949686	1731	861	10	5	10666000	115
20220517 210146	-0.765604843277028	1685	602	14	5	10666000	116
