archivo	iteracion_bayesiana	ganancia	corte
8103ZZa_028_09000.csv	28	15064000	9000
8103ZZa_028_09500.csv	28	15064000	9500
8103ZZa_028_10000.csv	28	15064000	10000
8103ZZa_028_10500.csv	28	15064000	10500
8103ZZa_028_11000.csv	28	15064000	11000
8103ZZa_028_11500.csv	28	15064000	11500
8103ZZa_028_12000.csv	28	15064000	12000
8103ZZa_028_12500.csv	28	15064000	12500
8103ZZa_028_13000.csv	28	15064000	13000
8103ZZa_028_13500.csv	28	15064000	13500
8103ZZa_028_14000.csv	28	15064000	14000
8103ZZa_028_14500.csv	28	15064000	14500
8103ZZa_028_15000.csv	28	15064000	15000
8103ZZa_038_09000.csv	38	14992000	9000
8103ZZa_038_09500.csv	38	14992000	9500
8103ZZa_038_10000.csv	38	14992000	10000
8103ZZa_038_10500.csv	38	14992000	10500
8103ZZa_038_11000.csv	38	14992000	11000
8103ZZa_038_11500.csv	38	14992000	11500
8103ZZa_038_12000.csv	38	14992000	12000
8103ZZa_038_12500.csv	38	14992000	12500
8103ZZa_038_13000.csv	38	14992000	13000
8103ZZa_038_13500.csv	38	14992000	13500
8103ZZa_038_14000.csv	38	14992000	14000
8103ZZa_038_14500.csv	38	14992000	14500
8103ZZa_038_15000.csv	38	14992000	15000
