Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.146353297598732	0.00929542979755161	0.0037801769810132
ctrx_quarter	0.107699683570401	0.00433007991488842	0.00336493026718978
mtarjeta_visa_consumo	0.0535123989306896	0.0075387139773902	0.0024628425785389
mcaja_ahorro	0.0441376597069168	0.00514937428354673	0.00369426386780836
mcuentas_saldo	0.03672843643234	0.00997390561261147	0.00816174575446032
mdescubierto_preacordado	0.0322459107284815	0.00229629771308617	0.00117414588046622
saldocuentas	0.0220437520888255	0.0109023601738315	0.0127867350153212
Visa_status_mean6	0.0200828146198589	0.00095320165969181	0.000715942610040379
cpayroll_trx	0.0199842601073237	0.00625311348109071	0.00140324751567914
ctarjeta_visa_trx	0.0193214570281035	0.00456741858132676	0.0024628425785389
foto_mes	0.0169794816122981	0.0300995748849942	0.0156791431598843
mpayroll	0.0159062906146892	0.00720789201198068	0.00190440734270741
mdescubierto_preacordado_delta1	0.0124857536192462	0.00376115486090043	0.0009450442452533
mprestamos_personales	0.0119152995203519	0.013514071606945	0.0045247572954552
mprestamos_personales_mean6	0.0103327765863168	0.00294153716141704	0.00221942209112518
mpasivos_margen	0.00939481142938324	0.00396568494052712	0.00365130731120593
mv_status06_delta1	0.00851570019967507	0.000596462251673149	0.000214782783012114
mv_status01	0.00825819659469965	0.000568801772293287	0.000572754088032303
mcuentas_saldo_lag1	0.00816573101335202	0.00475617881447774	0.00495432286147942
mcuenta_corriente	0.00743630396152809	0.0065176098947465	0.00708783183939975
Visa_Finiciomora_mean6	0.00653850685814031	0.00201702232012178	0.00138892866347834
mpayroll_sobre_edad	0.00628896791427505	0.00399743194337131	0.00100231965405653
cproductos_delta1	0.00565615083577469	0.00434463207100535	0.00111687047166299
mrentabilidad_mean6	0.00542565018892407	0.00307458669926054	0.00551275809731092
ccaja_ahorro	0.00523842553331939	0.0072384095257272	0.0022623786477276
cprestamos_personales_mean6	0.0051043637522251	0.00195983012675543	0.00249148028294052
mv_Finiciomora_lag1	0.00509398574292629	0.00305229865461706	0.00105959506285976
Visa_Finiciomora	0.00506401026637888	0.00278544650173115	0.00088776883645007
mv_msaldototal	0.00483694838185711	0.00101648033839562	0.00115982702826541
mactivos_margen	0.00459068900923957	0.00626064009326803	0.00605687448094161
mprestamos_personales_delta1	0.00450834742010461	0.00967724742506009	0.00441020647784874
mv_Finiciomora	0.00444029677035357	0.00278584402847188	0.00114550817606461
mcaja_ahorro_dolares_delta1	0.00417479359365523	0.00668005372152172	0.00363698845900513
mv_status07_delta1	0.00392830499247684	0.000511845553704534	0.000200463930811306
cprestamos_personales	0.00391555983128442	0.00105182293128061	0.00077321801884361
mprestamos_personales_lag1	0.00370277707222832	0.000821029917767815	0.00108823276726138
cproductos	0.00368013719750753	0.00327952882715275	0.00337924911939059
Master_status	0.00349203368464676	0.000227053720883073	0.000143188522008076
mautoservicio	0.00345089429836427	0.00218700826382733	0.00083049342764684
mv_status02	0.00344594366753769	0.000315614676752978	0.000128869669807268
Master_status_mean6	0.00335474246094685	0.00112647075375665	0.000429565566024228
mactivos_margen_mean6	0.00332850655156006	0.00277101845927129	0.00485409089607377
mv_status05_delta1	0.00328993203739506	0.00133631934183241	0.000486840974827458
ctrx_quarter_normalizado_delta1	0.00323895965148477	0.00306075524944355	0.00438156877344712
ctrx_quarter_delta1	0.00312607920226105	0.00406707619296687	0.0060425556287408
