lote	time	secs	mem	CPU	GB
1	20220603 235925	0	46	59	15999
1	20220604 000430	305	46	2	15999
1	20220604 000905	580	52	0	15999
1	20220604 000910	585	65	14	15999
1	20220604 000915	590	79	15	15999
1	20220604 000920	595	93	15	15999
1	20220604 000925	600	99	16	15999
1	20220604 000930	605	34	7	15999
1	20220604 001435	910	34	0	15999
1	20220604 001930	1205	40	0	15999
1	20220604 001935	1210	52	14	15999
1	20220604 001940	1215	64	14	15999
1	20220604 001945	1220	78	15	15999
1	20220604 001950	1225	92	15	15999
1	20220604 001955	1230	99	16	15999
1	20220604 002000	1235	25	9	15999
1	20220604 002505	1540	25	0	15999
2	20220705 032337	0	1	6	128822
2	20220705 032842	305	2	1	128822
2	20220705 033252	555	13	5	128822
2	20220705 033432	655	24	25	128822
2	20220705 033857	920	6	41	128822
2	20220705 034402	1225	6	0	128822
2	20220705 034907	1530	6	0	128822
2	20220705 035412	1835	11	2	128822
2	20220705 035522	1905	22	18	128822
2	20220705 035527	1910	26	57	128822
2	20220705 035537	1920	33	53	128822
2	20220705 035547	1930	40	39	128822
2	20220705 035552	1935	44	13	128822
2	20220705 035602	1945	46	13	128822
2	20220705 035627	1970	42	43	128822
2	20220705 035632	1975	38	12	128822
2	20220705 035652	1995	31	33	128822
2	20220705 035817	2080	38	42	128822
2	20220705 035957	2180	7	38	128822
2	20220705 040502	2485	7	0	128822
2	20220705 041007	2790	7	0	128822
2	20220705 041513	3096	7	0	128822
2	20220705 042018	3401	7	0	128822
2	20220705 042243	3546	18	7	128822
2	20220705 042258	3561	22	35	128822
2	20220705 042803	3866	24	85	128822
2	20220705 043308	4171	24	96	128822
2	20220705 043813	4476	24	96	128822
2	20220705 044318	4781	24	97	128822
2	20220705 044823	5086	24	98	128822
2	20220705 045328	5391	24	97	128822
2	20220705 045833	5696	24	93	128822
2	20220705 050338	6001	24	97	128822
2	20220705 050843	6306	24	96	128822
2	20220705 051348	6611	24	97	128822
2	20220705 051853	6916	24	96	128822
2	20220705 052358	7221	24	80	128822
2	20220705 052903	7526	24	96	128822
2	20220705 053408	7831	24	99	128822
2	20220705 053913	8136	24	96	128822
2	20220705 054418	8441	24	99	128822
2	20220705 054923	8746	24	79	128822
2	20220705 055428	9051	24	99	128822
2	20220705 055933	9356	24	97	128822
2	20220705 060438	9661	24	94	128822
2	20220705 060943	9966	24	98	128822
2	20220705 061448	10271	24	94	128822
2	20220705 061953	10576	24	99	128822
2	20220705 062458	10881	24	99	128822
2	20220705 063003	11186	24	96	128822
2	20220705 063508	11491	24	98	128822
2	20220705 064013	11796	24	95	128822
2	20220705 064518	12101	24	97	128822
2	20220705 065023	12406	24	99	128822
2	20220705 065528	12711	24	97	128822
2	20220705 070033	13016	24	98	128822
2	20220705 070538	13321	24	99	128822
2	20220705 071043	13626	24	96	128822
2	20220705 071548	13931	24	98	128822
2	20220705 072053	14236	24	94	128822
2	20220705 072558	14541	24	98	128822
2	20220705 073103	14846	24	95	128822
2	20220705 073608	15151	24	97	128822
2	20220705 074113	15456	24	99	128822
2	20220705 074618	15761	24	96	128822
2	20220705 075123	16066	24	97	128822
2	20220705 075628	16371	24	99	128822
2	20220705 080133	16676	24	89	128822
2	20220705 080638	16981	24	98	128822
2	20220705 081143	17286	24	95	128822
2	20220705 081648	17591	24	99	128822
2	20220705 082153	17896	24	96	128822
2	20220705 082658	18201	24	99	128822
2	20220705 083203	18506	24	97	128822
2	20220705 083708	18811	24	95	128822
2	20220705 084213	19116	24	97	128822
2	20220705 084718	19421	24	99	128822
2	20220705 085223	19726	24	96	128822
2	20220705 085728	20031	24	97	128822
2	20220705 090233	20336	24	96	128822
2	20220705 090738	20641	24	99	128822
2	20220705 091243	20946	24	96	128822
2	20220705 091748	21251	24	95	128822
2	20220705 092253	21556	24	98	128822
2	20220705 092758	21861	24	97	128822
2	20220705 093303	22166	24	99	128822
2	20220705 093808	22471	24	94	128822
2	20220705 094313	22776	24	99	128822
2	20220705 094818	23081	24	95	128822
2	20220705 095323	23386	24	99	128822
2	20220705 095828	23691	24	99	128822
2	20220705 100333	23996	24	81	128822
2	20220705 100838	24301	24	97	128822
2	20220705 101343	24606	24	97	128822
2	20220705 101848	24911	24	96	128822
2	20220705 102353	25216	24	99	128822
2	20220705 102858	25521	24	91	128822
2	20220705 103403	25826	24	99	128822
2	20220705 103908	26131	24	96	128822
2	20220705 104413	26436	24	97	128822
2	20220705 104918	26741	24	98	128822
2	20220705 105423	27046	24	95	128822
2	20220705 105928	27351	24	99	128822
2	20220705 110433	27656	24	97	128822
2	20220705 110938	27961	24	98	128822
2	20220705 111443	28266	24	95	128822
2	20220705 111948	28571	24	99	128822
2	20220705 112453	28876	24	99	128822
2	20220705 112533	28916	14	59	128822
2	20220705 112538	28921	8	1	128822
2	20220705 113043	29226	8	1	128822
2	20220705 113548	29531	8	0	128822
2	20220705 114053	29836	8	0	128822
2	20220705 114558	30141	8	0	128822
2	20220705 115103	30446	8	0	128822
