lote	time	secs	mem	CPU	GB
2	20220705 115608	30751	8	0	128822
2	20220705 120113	31056	8	0	128822
2	20220705 120618	31361	8	0	128822
2	20220705 121123	31666	8	0	128822
2	20220705 121628	31971	8	0	128822
2	20220705 122133	32276	8	0	128822
2	20220705 122638	32581	8	0	128822
2	20220705 123143	32886	8	0	128822
2	20220705 123648	33191	8	0	128822
2	20220705 124153	33496	8	0	128822
2	20220705 124658	33801	8	0	128822
2	20220705 125203	34106	8	0	128822
2	20220705 125708	34411	8	0	128822
2	20220705 130213	34716	8	0	128822
2	20220705 130718	35021	8	0	128822
2	20220705 131223	35326	8	0	128822
2	20220705 131728	35631	8	0	128822
2	20220705 132233	35936	8	0	128822
2	20220705 132738	36241	8	0	128822
2	20220705 133243	36546	8	0	128822
2	20220705 133748	36851	8	0	128822
2	20220705 134253	37156	8	0	128822
2	20220705 134758	37461	8	0	128822
2	20220705 135303	37766	8	0	128822
2	20220705 135808	38071	8	0	128822
2	20220705 140313	38376	8	0	128822
2	20220705 140818	38681	8	0	128822
2	20220705 141323	38986	8	0	128822
2	20220705 141828	39291	8	0	128822
2	20220705 142333	39596	8	0	128822
2	20220705 142838	39901	8	0	128822
2	20220705 143343	40206	8	0	128822
2	20220705 143848	40511	8	0	128822
2	20220705 144353	40816	8	0	128822
2	20220705 144858	41121	8	0	128822
2	20220705 145403	41426	8	0	128822
2	20220705 145908	41731	8	0	128822
2	20220705 150413	42036	8	0	128822
2	20220705 150918	42341	8	0	128822
2	20220705 151423	42646	8	0	128822
2	20220705 151928	42951	8	0	128822
2	20220705 152433	43256	8	0	128822
2	20220705 152938	43561	8	0	128822
2	20220705 153443	43866	8	0	128822
2	20220705 153948	44171	8	0	128822
2	20220705 154453	44476	8	0	128822
2	20220705 154959	44782	8	0	128822
2	20220705 155504	45087	8	0	128822
2	20220705 160009	45392	8	0	128822
2	20220705 160514	45697	8	0	128822
2	20220705 161019	46002	8	0	128822
2	20220705 161524	46307	8	0	128822
2	20220705 162029	46612	8	0	128822
2	20220705 162449	46872	19	5	128822
2	20220705 162519	46902	20	22	128822
2	20220705 162559	46942	31	12	128822
2	20220705 163104	47247	34	92	128822
2	20220705 163609	47552	34	81	128822
2	20220705 164114	47857	34	98	128822
2	20220705 164619	48162	35	97	128822
2	20220705 165124	48467	37	96	128822
2	20220705 165629	48772	40	96	128822
2	20220705 170134	49077	42	96	128822
2	20220705 170639	49382	44	96	128822
2	20220705 170944	49567	37	99	128822
2	20220705 171449	49872	39	97	128822
2	20220705 171954	50177	41	98	128822
2	20220705 172459	50482	44	98	128822
2	20220705 173004	50787	46	96	128822
2	20220705 173304	50967	39	97	128822
2	20220705 173809	51272	41	97	128822
2	20220705 174314	51577	44	98	128822
2	20220705 174819	51882	46	98	128822
2	20220705 175324	52187	48	96	128822
2	20220705 175629	52372	40	97	128822
2	20220705 180134	52677	43	97	128822
2	20220705 180639	52982	45	98	128822
2	20220705 181144	53287	47	98	128822
2	20220705 181649	53592	50	98	128822
2	20220705 181939	53762	42	98	128822
2	20220705 182444	54067	45	97	128822
2	20220705 182949	54372	47	98	128822
2	20220705 183454	54677	49	98	128822
2	20220705 183959	54982	51	98	128822
2	20220705 184249	55152	45	97	128822
2	20220705 184754	55457	48	98	128822
2	20220705 185259	55762	50	98	128822
2	20220705 185804	56067	52	98	128822
2	20220705 190309	56372	54	98	128822
2	20220705 190814	56677	57	98	128822
2	20220705 191019	56802	48	98	128822
2	20220705 191524	57107	51	97	128822
2	20220705 192029	57412	54	98	128822
2	20220705 192534	57717	56	98	128822
2	20220705 193039	58022	58	98	128822
2	20220705 193329	58192	50	98	128822
2	20220705 193834	58497	54	97	128822
2	20220705 194339	58802	56	98	128822
2	20220705 194844	59107	58	98	128822
2	20220705 195349	59412	61	98	128822
2	20220705 195629	59572	53	98	128822
2	20220705 200134	59877	56	97	128822
2	20220705 200639	60182	58	98	128822
2	20220705 201144	60487	61	98	128822
2	20220705 201649	60792	63	98	128822
2	20220705 201929	60952	55	98	128822
2	20220705 202434	61257	57	92	128822
2	20220705 202459	61282	41	0	128822
2	20220705 202504	61287	32	2	128822
2	20220705 202509	61292	8	7	128822
