Feature	Gain	Cover	Frequency
ctrx_quarter	0.201692312607652	0.0191239020789526	0.012421705480836
mcuentas_saldo	0.0442295061133158	0.0138602901384189	0.0201874676060545
mtarjeta_visa_consumo	0.0348020676043065	0.0110171645649336	0.0148023859513498
mcaja_ahorro	0.0340709619191563	0.00752045870444399	0.0124656294747569
mdescubierto_preacordado	0.0215184751948993	0.00231442668402072	0.00160761817750564
foto_mes	0.0198674004407228	0.0146807596115183	0.0167438264826544
ctarjeta_visa	0.0186236347184836	0.000598645573330621	0.00068521430516634
mpayroll	0.0177775975187896	0.0121638550847049	0.00572768880728787
cpayroll_trx	0.0162496715580232	0.00768741475248385	0.00464715855683326
ctrx_quarter_lag1	0.0146167366033169	0.00746987302135277	0.00880236838175222
mprestamos_personales	0.0141403313119125	0.00768156625805457	0.00322402115379547
mcuenta_corriente	0.0120862476220996	0.007305315144891	0.0105944673337257
mdescubierto_preacordado_delta1	0.0110122408975583	0.00426427197515523	0.00115080864072808
Master_status	0.0109655649882222	0.00175665517331813	0.000834555884497466
mpasivos_margen	0.0103189547364772	0.00808512662420497	0.0105856825349415
cproductos_delta1	0.00845033223014806	0.00499271653422946	0.0016866813665633
numero_de_cliente	0.008281635100421	0.00965336707073273	0.0160322577811355
cliente_edad	0.00824016421063883	0.00922507964758177	0.014573981182961
Visa_status	0.00809357117965266	0.00108093711204936	0.000509518329482663
cliente_edad_lag1	0.00796842514901428	0.00799789512620015	0.0131332741823549
mactivos_margen	0.00793612138116595	0.00783081914262091	0.0123426422917783
ctrx_quarter_delta1	0.00777396913898938	0.00669908913707514	0.011226972846187
mrentabilidad_annual_delta1	0.00772738953616067	0.00673524542703521	0.0126237558528722
mrentabilidad_annual	0.00767687279236724	0.00830185653732104	0.0110424920717191
Master_fechaalta	0.007500096830273	0.00930654152976509	0.0117716303708064
Master_Fvencimiento	0.00636732761230231	0.00626753079368775	0.0111566944559135
Visa_Fvencimiento	0.00627226084413533	0.00751042170972372	0.0117277063768854
Visa_fechaalta_lag1	0.00622694857900752	0.00416851650353755	0.00974234185165989
Visa_Fvencimiento_lag1	0.00611984061572584	0.00566440331321359	0.0112708968401079
mprestamos_personales_delta1	0.00596682149438241	0.00873826267983141	0.0033733627331266
mcuenta_corriente_lag1	0.00590051137156474	0.00683852363775021	0.0104539105531788
Visa_fechaalta	0.00586618744147529	0.00474820902639288	0.01022550578479
mcuentas_saldo_delta1	0.00575387557546877	0.0079873440339913	0.0105066193458839
mprestamos_personales_lag1	0.00574735191520757	0.00237905738108994	0.00137921340911686
mrentabilidad	0.00564284069956357	0.00446763450623921	0.00840705243646394
mcaja_ahorro_dolares_delta1	0.00557540590146561	0.00568470623548841	0.00655345989300115
chomebanking_trx	0.00551510990328844	0.004829914246	0.00918011472947212
Master_Fvencimiento_lag1	0.00548086608039606	0.00451295126779657	0.0103484929677686
ctarjeta_visa_trx	0.00544379012663195	0.00800866313458039	0.0121230223221737
mrentabilidad_annual_lag1	0.00522198748275381	0.00679117490471375	0.00934702590637161
Master_fechaalta_lag1	0.00510969537131644	0.00573476634363736	0.0100058858151854
Visa_mpagominimo	0.00504747367734847	0.00656927736436972	0.00917132993068794
mcaja_ahorro_lag1	0.00502906183668449	0.00559718171578047	0.00931188671123488
mcomisiones_mantenimiento	0.00468970792883784	0.00618507530294805	0.00440996898966029
